date,time,run_by,nruns,system,species,scenario,Item,Group,Mean,Stdev,Min,Q1,Median,Q3,Max
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Juvenile Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Adult Combined,2552094.514,61603.87959,2442254.282,2506051.815,2541569.242,2585675.21,2834152.04
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Female Combined,1686002.667,21068.62476,1648432.141,1670255.635,1682404.037,1697488.885,1782447.1
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Culls,Male Combined,866091.8472,40535.25495,793822.1411,835796.1801,859165.2045,888186.3259,1051704.941
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Neonatal Female,18441882.98,5787390.915,8321753.005,14130920.97,17412307.58,21534144.99,45721805.86
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Neonatal Male,18441882.98,5787390.915,8321753.005,14130920.97,17412307.58,21534144.99,45721805.86
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Juvenile Female,13231984.97,2869845.207,8156428.638,11090047.23,12733140.46,14783360.04,26534870.96
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Juvenile Male,13103087.18,2997231.629,7801634.518,10866029.39,12582223.79,14723514.03,26994086.69
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Adult Female,7757689.609,883742.8407,6187097.325,7097547.935,7605641.596,8237814.631,11824184.5
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Adult Male,7024348.433,915160.2997,5397722.127,6340724.148,6866935.964,7521604.479,11234626.44
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Overall,78000876.14,19240601.95,44186388.62,63656190.64,74612556.98,88334583.15,168031380.3
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Neonatal Combined,36883765.95,11574781.83,16643506.01,28261841.94,34824615.17,43068289.97,91443611.73
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Juvenile Combined,26335072.15,5867076.832,15958063.16,21956076.62,25315364.25,29506874.07,53528957.65
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Adult Combined,14782038.04,1798903.139,11584819.45,13438272.08,14472577.56,15759419.11,23058810.93
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Female Combined,39431557.56,9540900.737,22665278.97,32318516.13,37751089.64,44555319.66,84080861.32
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Sum,Male Combined,38569318.59,9699701.241,21521109.65,31337674.51,36861467.34,43779263.49,83950518.99
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Neonatal Female,10783918.51,3789785.838,4189458.572,7963394.018,10103090.67,12798599.29,28774992.48
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Neonatal Male,10783918.51,3789785.838,4189458.572,7963394.018,10103090.67,12798599.29,28774992.48
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Juvenile Female,7657964.47,1997659.903,4132294.433,6167526.951,7309216.911,8735545.701,16946813.39
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Juvenile Male,7657964.47,1997659.903,4132294.433,6167526.951,7309216.911,8735545.701,16946813.39
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Adult Female,5464725.982,855089.5851,3945229.613,4826000.271,5317572.105,5929229.748,9400056.44
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Adult Male,4287498.196,787069.1984,2889244.162,3699608.219,4151973.918,4714935.689,7911238.823
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Overall,46635990.13,13216863.06,23477979.78,36787450.43,44294161.19,53712455.41,108754907
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Neonatal Combined,21567837.01,7579571.677,8378917.144,15926788.04,20206181.35,25597198.57,57549984.96
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Juvenile Combined,15315928.94,3995319.806,8264588.865,12335053.9,14618433.82,17471091.4,33893626.77
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Adult Combined,9752224.177,1642158.777,6834473.775,8525608.49,9469546.023,10644165.44,17311295.26
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Female Combined,23906608.96,6642439.68,12266982.62,18956921.24,22729879.69,27463374.73,55121862.3
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Inflow,Male Combined,22729381.17,6574423.402,11210997.17,17830529.19,21564281.5,26249080.68,53633044.69
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Neonatal Female,7657964.47,1997659.903,4132294.433,6167526.951,7309216.911,8735545.701,16946813.39
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Neonatal Male,7657964.47,1997659.903,4132294.433,6167526.951,7309216.911,8735545.701,16946813.39
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Juvenile Female,5574020.501,872191.3768,4024134.205,4922520.276,5423923.547,6047814.343,9588057.569
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Juvenile Male,5445122.709,999577.882,3669340.085,4698502.438,5273006.876,5987968.325,10047273.31
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Adult Female,2292963.627,28653.32968,2241867.712,2271547.664,2288069.49,2308584.883,2424128.056
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Adult Male,2736850.237,128091.4057,2508477.966,2641115.929,2714962.046,2806668.79,3323387.612
