species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
Cattle,SNNP,Crop livestock mixed,Oxen,Oxen,Overall,2021,Mortality,External,116618344.714921,19360321.5792062,115418401.601059,117818287.828782
Cattle,SNNP,Crop livestock mixed,Oxen,Oxen,Overall,2021,Mortality,Infectious,275939512.061531,24072561.990566,274447506.627872,277431517.495191
Cattle,SNNP,Crop livestock mixed,Oxen,Oxen,Overall,2021,Mortality,Non-infectious,177005275.062059,21702498.3473454,175660164.995631,178350385.128487
Cattle,SNNP,Crop livestock mixed,Oxen,Oxen,Overall,2021,Production loss,External,1022099987.93426,424369593.101841,995797771.367693,1048402204.50082
Cattle,SNNP,Crop livestock mixed,Oxen,Oxen,Overall,2021,Production loss,Infectious,3391158039.2396,1250681232.35569,3313641437.75854,3468674640.72066
Cattle,SNNP,Crop livestock mixed,Oxen,Oxen,Overall,2021,Production loss,Non-infectious,3000791443.01665,1118452659.367,2931470302.8023,3070112583.231
Cattle,SNNP,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Mortality,External,395122834.531012,76846366.0887332,390359934.935766,399885734.126257
Cattle,SNNP,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Mortality,Infectious,935330605.942771,87723106.1460718,929893571.402005,940767640.483537
Cattle,SNNP,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Mortality,Non-infectious,569078727.838043,73958437.9983985,564494820.591202,573662635.084884
Cattle,SNNP,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Production loss,External,861435922.392959,470636707.929307,832266093.033483,890605751.752435
Cattle,SNNP,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Production loss,Infectious,2829007656.06491,1439431830.47999,2739792386.27765,2918222925.85216
Cattle,SNNP,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Production loss,Non-infectious,2427652664.08769,1261758799.42002,2349449480.50298,2505855847.6724
Cattle,SNNP,Pastoral,Adult,Adult,Overall,2021,Mortality,External,1108925066.09588,188148723.928708,1097263701.65334,1120586430.53843
Cattle,SNNP,Pastoral,Adult,Adult,Overall,2021,Mortality,Infectious,2197531522.2659,224896426.690859,2183592553.46129,2211470491.0705
Cattle,SNNP,Pastoral,Adult,Adult,Overall,2021,Mortality,Non-infectious,1321962068.27194,202022991.424359,1309440783.62233,1334483352.92155
Cattle,SNNP,Pastoral,Adult,Adult,Overall,2021,Production loss,External,6460027252.15508,1874074846.9446,6343873024.12476,6576181480.1854
Cattle,SNNP,Pastoral,Adult,Adult,Overall,2021,Production loss,Infectious,11903853704.1177,3061311468.7762,11714115140.0492,12093592268.1861
Cattle,SNNP,Pastoral,Adult,Adult,Overall,2021,Production loss,Non-infectious,9626684315.79683,2573301158.25714,9467192388.3457,9786176243.24797
Cattle,SNNP,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,External,138415650.682519,22532241.8219177,137019113.527729,139812187.83731
Cattle,SNNP,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,278073516.491221,25688903.9996657,276481330.982787,279665701.999655
Cattle,SNNP,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,Non-infectious,116606037.262884,21182251.9730161,115293171.808294,117918902.717474
Cattle,SNNP,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,External,755224973.051324,159074286.95877,745365627.76888,765084318.333768
Cattle,SNNP,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,1686934113.43707,263074808.087718,1670628867.51934,1703239359.35479
Cattle,SNNP,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,Non-infectious,1625582939.6034,259766714.36911,1609482727.69099,1641683151.51581
Cattle,SNNP,Pastoral,Sub-adult,Sub-adult,Overall,2021,Mortality,External,362273809.653902,52515513.59734,359018924.209246,365528695.098557
Cattle,SNNP,Pastoral,Sub-adult,Sub-adult,Overall,2021,Mortality,Infectious,607278172.059567,60110581.238539,603552548.095508,611003796.023625
Cattle,SNNP,Pastoral,Sub-adult,Sub-adult,Overall,2021,Mortality,Non-infectious,345207114.606302,48855646.688757,342179065.89453,348235163.318074
Cattle,SNNP,Pastoral,Sub-adult,Sub-adult,Overall,2021,Production loss,External,852855865.500345,191378574.616144,840994316.516683,864717414.484006
Cattle,SNNP,Pastoral,Sub-adult,Sub-adult,Overall,2021,Production loss,Infectious,1256480672.42467,250256938.372664,1240969871.70436,1271991473.14498
Cattle,SNNP,Pastoral,Sub-adult,Sub-adult,Overall,2021,Production loss,Non-infectious,1070150226.93604,216220495.877279,1056748988.01333,1083551465.85876
Cattle,SNNP,Periurban dairy,Adult,Adult,Overall,2021,Mortality,External,51004222.6401077,7931451.26834547,50512635.2305991,51495810.0496164
Cattle,SNNP,Periurban dairy,Adult,Adult,Overall,2021,Mortality,Infectious,107618165.20389,10254982.9246136,106982566.456586,108253763.951194
Cattle,SNNP,Periurban dairy,Adult,Adult,Overall,2021,Mortality,Non-infectious,88226871.8615766,9525615.83783299,87636478.9239836,88817264.7991697
Cattle,SNNP,Periurban dairy,Adult,Adult,Overall,2021,Production loss,External,469606040.453382,346433492.766875,448134264.669299,491077816.237465
Cattle,SNNP,Periurban dairy,Adult,Adult,Overall,2021,Production loss,Infectious,1858284245.87376,1264702318.71399,1779898624.42546,1936669867.32206
Cattle,SNNP,Periurban dairy,Adult,Adult,Overall,2021,Production loss,Non-infectious,1895139358.03399,1283727072.76707,1815574591.7804,1974704124.28758
Cattle,SNNP,Periurban dairy,Juvenile,Juvenile,Overall,2021,Mortality,External,16164019.2828341,3381888.6008534,15954411.5073724,16373627.0582957
Cattle,SNNP,Periurban dairy,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,64454481.0469599,4689201.92565538,64163846.6410604,64745115.4528593
Cattle,SNNP,Periurban dairy,Juvenile,Juvenile,Overall,2021,Mortality,Non-infectious,33188066.5691466,4310708.84705201,32920890.9762352,33455242.162058
