species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2019,Production loss,Non-infectious,All conditions,48188030.101784,52022110.0757362,-53775305.64665895,150151365.85022694,29.06975,1657669.2301029076,1789561.6603423215,-1849871.6241680423,5165210.084373858
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,External,All causes,320626.13418913423,160375.43230778546,6290.2868658747175,634961.9815123938,34.9271654040404,9179.849852689274,4591.710505348742,180.09726220574007,18179.60244317281
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,Brucellosis,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,FMD,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,Other diseases,320626.1341891343,0.0,320626.1341891343,320626.1341891343,34.9271654040404,9179.849852689276,0.0,9179.849852689276,9179.849852689276
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Health cost,Non-infectious,All conditions,320626.13418913423,160375.43230778546,6290.2868658747175,634961.9815123938,34.9271654040404,9179.849852689274,4591.710505348742,180.09726220574007,18179.60244317281
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,External,All causes,9472905.05993347,1378053.6364885,6771919.932416011,12173890.18745093,34.9271654040404,271218.8335454682,39455.066580613086,193886.9030474666,348550.76404346986
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,Brucellosis,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,FMD,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,Other diseases,25321272.115475,1878592.20374529,21639231.39613423,29003312.834815767,34.9271654040404,724973.5792342832,53785.99099049627,619553.0368929105,830394.1215756559
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Mortality,Non-infectious,All conditions,9164348.33764157,1566569.70065995,6093871.724348068,12234824.950935073,34.9271654040404,262384.54313791613,44852.47178056792,174473.698448003,350295.3878278293
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,External,All causes,21436199.3870873,23685087.6240144,-24986572.355980925,67858971.13015553,34.9271654040404,613740.0255391909,678127.9657259128,-715390.7872835984,1942870.8383619804
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,Brucellosis,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,FMD,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,Other diseases,62713039.0187211,67696728.1111506,-69972548.07913406,195398626.11657625,34.9271654040404,1795537.6078548422,1938225.6569644036,-2003384.6797953888,5594459.895505073
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2020,Production loss,Non-infectious,All conditions,50597431.6068732,54623215.5795225,-56464070.9289909,157658934.1427373,34.9271654040404,1448655.5385058546,1563917.797154064,-1616623.343916111,4513934.42092782
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Health cost,External,All causes,336657.44089859095,168394.20392317476,6604.80120916845,666710.0805880134,34.9271654040404,9638.84234532374,4821.29603061618,189.10212531602699,19088.58256533145
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Health cost,Infectious,Brucellosis,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Health cost,Infectious,FMD,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Health cost,Infectious,Other diseases,336657.440898591,0.0,336657.440898591,336657.440898591,34.9271654040404,9638.842345323741,0.0,9638.842345323741,9638.842345323741
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Health cost,Non-infectious,All conditions,336657.44089859095,168394.20392317476,6604.80120916845,666710.0805880134,34.9271654040404,9638.84234532374,4821.29603061618,189.10212531602699,19088.58256533145
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Mortality,External,All causes,9946550.31286546,1446956.31830469,7110515.928988268,12782584.696742654,34.9271654040404,284779.7752208897,41427.81990940797,203581.24819845008,365978.30224332935
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Mortality,Infectious,Brucellosis,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Mortality,Infectious,FMD,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Mortality,Infectious,Other diseases,26587335.7210715,1972521.81404269,22721192.96554783,30453478.47659517,34.9271654040404,761222.2581909226,56475.29054317437,650530.6887263008,871913.8276555443
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Mortality,Non-infectious,All conditions,9622565.75443595,1644898.18556615,6398565.310726297,12846566.198145606,34.9271654040404,275503.770292301,47095.095365965964,183197.38337500775,367810.1572095944
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Production loss,External,All causes,22508009.3564417,24869342.0052149,-26235900.973779507,71251919.68666291,34.9271654040404,644427.0268161513,712034.3640122022,-751160.326647765,2040014.3802800681
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Production loss,Infectious,Brucellosis,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Production loss,Infectious,FMD,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Production loss,Infectious,Other diseases,65848690.9696572,71081564.5167075,-73471175.48308949,205168557.42240387,34.9271654040404,1885314.4882475853,2035136.9398126057,-2103553.913785122,5874182.890280292
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Adult,Adult,Overall,2021,Production loss,Non-infectious,All conditions,53127303.1872169,57354376.3584981,-59287274.47543936,165541880.84987316,34.9271654040404,1521088.3154311485,1642113.687011752,-1697454.5111118855,4739631.141974182
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Health cost,External,All causes,22334.784051006674,11167.392025503337,446.69568102013363,44222.87242099321,23.8661044574125,935.8370190184005,467.91850950920025,18.716740380368016,1852.9572976564327
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Health cost,Infectious,Brucellosis,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Health cost,Infectious,FMD,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Health cost,Infectious,Other diseases,22334.784051006674,0.0,22334.784051006674,22334.784051006674,23.8661044574125,935.8370190184005,0.0,935.8370190184005,935.8370190184005
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Health cost,Non-infectious,All conditions,22334.784051006674,11167.392025503337,446.69568102013363,44222.87242099321,23.8661044574125,935.8370190184005,467.91850950920025,18.716740380368016,1852.9572976564327
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Mortality,External,All causes,936755.342662072,142390.446882104,657670.0667731483,1215840.6185509958,23.8661044574125,39250.45012409338,5966.220718433141,27556.657515964424,50944.24273222233
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Mortality,Infectious,Brucellosis,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Mortality,Infectious,FMD,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Mortality,Infectious,Other diseases,2044536.44461796,158387.686612414,1734096.5788576286,2354976.310378291,23.8661044574125,85666.95282283296,6636.511915677166,72659.38946810571,98674.51617756019
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Mortality,Non-infectious,All conditions,813183.604707136,130041.676398155,558301.9189667522,1068065.2904475199,23.8661044574125,34072.74137085124,5448.801945462271,23393.08955774519,44752.39318395729
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Production loss,External,All causes,-4845288.90071645,2142128.59612745,-9043860.949126251,-646716.8523066482,23.8661044574125,-203019.68045780368,89756.10577544979,-378941.6477776852,-27097.71313792211
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Production loss,Infectious,Brucellosis,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,National,Small holder,Chick,Chick,Overall,2017,Production loss,Infectious,FMD,0.0,0.0,0.0,0.0,23.8661044574125,0.0,0.0,0.0,0.0
